source;target
ppabc37;NA
antotae3095;NA
ShockSystem3;NA
tomlinsonlw1991;NA
JHK30759087;NA
moarmyblink;NA
OkwuoseAlexand1;NA
Yami_2701080903;NA
jjkjnnart;NA
aminos1993;spotify_data
NazmiSwift;NA
rosvlog;NA
enchantedmim13;NA
BelmilJennyrose;NA
NazmiSwift;NA
xvlOG;NA
xvlOG;NA
xvlOG;NA
lsgreen13;NA
tayrianayuh;NA
AgusZapata;NA
teatime75;NA
i00JS;NA
13taylor89;NA
BlondieXIII;NA
jenlisa_forev;NA
DutyReader;NA
niwang49;NA
chichuloezy;NA
minyoonji2051;NA
Chaes09076515;NA
a_monster_LG;NA
PortalAKBR;NA
kimjisoofairy;NA
arp882;NA
TrnHoiBoNhi1;NA
tanysany09;NA
MinaaThePenguin;NA
mimiposiee;NA
ainmanoban_;NA
tolerateittom;NA
NadasVersion;NA
mydearx_;NA
MdLalisa_;NA
Gyadlyn;NA
swifting1989;NA
girlatconcert;NA
jameswindborne;NA
MrRedskel;NA
dimsumcookiess;NA
onlypinkz;NA
Lilly9766637776;NA
rosieskyu;NA
girlatconcert;NA
EdwinLovesFilms;NA
RubybarexbyV;NA
lvanaee;NA
moominxjb;NA
lldayinthepink;NA
aminos1993;chartdata
MitChellGMTH;NA
srddjn;NA
purplescrunchi;NA
luccasxoxo;NA
thelittleblink;NA
_longLIV;NA
TayloorGabriel;NA
NLisayuh;NA
thatswiftlover;NA
bellohizy;NA
tianna_karis;NA
Akashexilelover;NA
jendelicate;NA
yellooo21;NA
keepitrosie0211;NA
IDontKn70147550;NA
wEllihopeU;NA
taeguk_yojikyu;NA
wersusthings;NA
OnlyLisaFrvr;NA
shakiralovestay;NA
smolbeanjichu;NA
i_am_blinkblink;NA
kyntearxsoo;NA
acegabrieeel;NA
RickySwift_;NA
folkmadmore;NA
Kanyaret2550;NA
blinks143143;NA
lalalisa_lil;NA
decherse;NA
_nnnurinnn;NA
silentthrills;NA
JisJenRosLisa;NA
hyucksrh;NA
Jaenominpinkz;NA
BlinkNation88;NA
Zoey_004;NA
Suphawadeetian1;NA
kalipaflowers;NA
aade6af0bbf84da;NA
felixhoneyy;NA
junmhein;NA
deekaesus;NA
KLochai;NA
PeredoPaul;NA
Jk6451767;NA
SevenIvyConey;NA
Ajnp7;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
kmsunlist;NA
hearts4beaa;NA
MlSSMAGGIE;NA
moi_redtv;NA
baconpink12;NA
moi_redtv;NA
plzaddbattletay;NA
ASegar;NA
taylightn;NA
notedsam;NA
igorc1996;NA
Meradeala;NA
Noxi35;NA
weddingdreamTS;NA
Andre_winter2;NA
zeezebrar;NA
wggyyyyy;NA
Propa_gaganda;NA
lililegooo;NA
gayandcowboy;NA
fdxchu;NA
Francis_Berlin;NA
KimBJ87;NA
enchantedtscr;NA
burnswifty;NA
nongjane331;NA
swifterization;NA
burnswifty;NA
quanhh112;NA
swiftiesretweet;NA
swiftiesretweet;NA
lukas52694910;NA
waspbzz;NA
lisa_lilies_;NA
aprilroseamigos;NA
Nandan_AADHF;NA
Fleur_De_Jade20;NA
Ceemoneed;NA
jk19960116;NA
enchantedtscr;NA
Maki83027133;NA
Priyal__01;NA
RasekBotticelli;NA
rvbyyjanee;NA
whyjiii3;NA
zhihe_26;NA
winterandwhite;NA
FreeOurRose;NA
D9uJONoGINP6Ki3;NA
PopDataMusic;NA
PopDataMusic;NA
renjunbaebae;NA
taylorlegacy13;NA
troyperezswift;NA
bjtlcp1000000;NA
ajeeebbbb;NA
idleNefelibata;NA
__Namtal;NA
Moon_JudyMoon;NA
mandu_mnbn;NA
getlostwilya;NA
justvibingtbh1;NA
deepl00;NA
getlostwilya;NA
rhaestorp;NA
butterflyuh_;NA
RepsPositions;NA
PopDataMusic;NA
xvlOG;NA
MrPerfectDay1;NA
megnelsonx;NA
RosieIsSoty;NA
marveloustime21;NA
jerarawan;NA
museofthemuse;NA
ithinkJINknows;NA
BlinkforL;NA
sittingsavage;NA
Carlyvm;NA
JasmineLAlalo;NA
Happy_rosiee;NA
klituerine;NA
Jclc41;NA
Deepinside999;NA
i4R7SIE;NA
MlSSMAGGIE;NA
SrtaRosiPereira;NA
pikukreal;NA
lesxyxdenini;NA
vannaurbby;NA
g_jspt;NA
Sadiyah_160808;NA
Voirmountagnes;NA
leeyo72031221;NA
mlyyphenom13;NA
DangleDat;NA
KimchiJisooshi;NA
bpmotan;NA
iamvioletta_;NA
_chany96;NA
POSITIONSJEN;NA
PrezJz;NA
ygfamisgod;NA
BolosMj;NA
Aubade85Emilie;NA
Bbsunshine0810;NA
Jomana26623722;NA
taevibecheck_;NA
rosiezaza111;NA
Liisa_uwu;NA
nooaaloopezzz;ceciliaychen16
Pinks_7765;NA
Richard_Colo;NA
_tsenchanted13_;NA
shinsungsuke;NA
alice_artpop;NA
folkloredever;NA
sooyablinks;NA
g123y;NA
JMJennieMarvs;NA
Enmanuelvila2;NA
Lisamysunshine3;NA
taylorstwice;NA
Shivakakunuri11;NA
MsGOLDWING;NA
hithalia;NA
lilixbpx;NA
Priyal__01;NA
PoetryOfAngels;NA
KevinSa39408441;NA
TayMusicSwift;NA
seleniest;NA
MaraMontano;NA
lnwLeo4L;NA
Imred131;NA
swiftlituation1;NA
SwifieG;NA
_colaniruto;NA
keylimegreencat;NA
ashfav3s;NA
ppjmochi;NA
thegrlwtbangs02;NA
val3r1e4;NA
chartMovers;NA
palmisvip;NA
rosaluz_fp;NA
RieRie_10;NA
lsjkwtnb;NA
mileshuang0410;NA
NUecRUpug0ymOmJ;NA
shadethemixer;NA
jnkpink_0;NA
lostboyice;NA
ppeupeu_m;NA
rykerharley;NA
smlrez;NA
wantanabekyu;NA
Lilisashine;NA
_jeanheckle;NA
Akpukn;NA
folkloredever;NA
redmoshOT4;NA
safwankimz;NA
MiniMouse2462;NA
liliforlalisa_m;NA
asamakulauganda;NA
gupeofcc;NA
yongbokology;NA
iwasalwaysblue;NA
anthikaaaa77;NA
pretty_savage_0;NA
myikky_BP;NA
thaaru_13;NA
alternearia;NA
sooyaas87;NA
missmirrorball_;NA
sweetpotato_ssi;NA
KateAllatt;NA
melytkns;NA
TSin1213;NA
lalisaislomll;NA
TatumNatpabhat;NA
mygkuttie;NA
Peupeu1627;NA
august_tsff;NA
rsieview;NA
ysl_Highness;NA
SwiftiesDigital;NA
lilixlove27;NA
chaelabel;NA
putadosasori;NA
cloudlessdayy;NA
snelations;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
f1fantwo;NA
malonsillo;NA
SaranshShahkpop;NA
YourSVR;NA
Meli_9611;NA
prettyhikariii;NA
its__me__here;NA
DuyenPham0301;NA
rosiierubyrose;NA
loveforever2703;NA
abe_reagine;NA
Iisaargenta;NA
MyKmania;NA
zrmnbn;NA
tosotd1989;NA
mateja_1234;NA
willowmelodrama;NA
suckerforjisoo1;NA
BiatchMeg;NA
allison_gzb;NA
Annastyle1d;NA
swiftiesretweet;NA
genevaishot;NA
OT4_MiAmor;NA
swiftiesretweet;NA
evelinwon;NA
genevaishot;NA
biv_calimag;NA
Harukyu9416;NA
bluejenniee;NA
bjorkmagdalene;NA
barbz1e;jaketrivana
britneybarreraa;NA
Blackpink_4_;NA
LALlSA0327;NA
allytooweII;NA
CarlaRo45955356;NA
luvluvliku;NA
jonehwg;NA
bptherev0lution;NA
winecommm;NA
Nutty241475147;NA
BLPlNK;NA
aotis_2004;NA
Leese63237869;NA
happypill94;NA
mmhln;NA
MM_Hannah9;NA
jooheon_baksu;NA
n_khunchai;NA
Kuwesus;NA
labluebearx;NA
Lucas_212_Alves;NA
Ashhh1726;NA
sachuuuuxx;NA
K8mRabbit;NA
nicole_goboy;NA
LeeannyojO;NA
veryreal_aiai;NA
MLisayah;NA
Sal_Strawberryy;NA
InYourArea15;NA
xvlOG;NA
blackpinktlera;NA
Jenrey0816;NA
xvlOG;NA
xvlOG;NA
xvlOG;NA
rimuruoki;NA
Hannah_lavende_;NA
allaround_rocky;NA
bp_qweens;NA
nrbazilahhh_;NA
Tenzin77507225;NA
DeniseYosahi;NA
PurplePinksky56;NA
__krystaldee;NA
xentropy89;NA
JamesGetIn13;NA
jndkiees;NA
konijichan;NA
Pr_Nn47;NA
_teumeblinks;NA
Iwalueudlm1;NA
khunthx;NA
koodoja;NA
snelations;NA
hopefulgoodgirl;NA
simpforbpandsel;NA
4283Saja;NA
razzhiel_;NA
bbpttm;NA
iamjest_21;NA
Imran71796586;NA
BlackKitty3193;NA
hopefulgoodgirl;NA
maisumfan;NA
SoundlessHope;SoundlessHope
Any_10BP;NA
ArmanPscho;NA
B_sayhiii;NA
bngtanblink;NA
wh7wn;NA
SudhakarJoshua;NA
justagirlgx;NA
Blackpi99213571;NA
pink9123459;NA
NafisaA19145647;NA
webebekk;webebekk
MaiNhi91056419;NA
owenkinsxoxo;NA
LaLeesa7;NA
_13SwiftlikeTay;NA
MW29_____;NA
kkptlFlT;NA
Lucy13352501;NA
TVswiftie13;NA
AmeliaP95914036;NA
iskayhien;NA
sooyaaaaaaaa3;NA
ayeejuly80;NA
SR49854261;NA
kyotanwa;NA
nununananini_;NA
Poweroflalisa07;NA
bhavikaabhatia;NA
sociometry18;NA
nothinghereumz;NA
TSwiftWorldNews;NA
taynarbhat13;NA
themalificent;NA
skye_sun;NA
cookievityy;NA
aen_mat;NA
Aycanzelik;NA
sad_778;NA
andreitahoran;NA
Elita1833;NA
loveiswonho;NA
sooyalt;NA
litajaee;NA
VoteForTaylor31;NA
eline_keit;NA
Blinkue12019182;NA
Li273sa;NA
lilili27777;NA
JC119128;NA
Bangpinkse__Bee;NA
jendeukiemyday;NA
nmuddles;NA
sunalex029;NA
nufilm456;NA
lbanter1;NA
BLPKTRSRTBZ;NA
TaylorsCvntyIvy;NA
fuuinnn;NA
H4teBoth;NA
flatnflavorless;NA
TaylorsCvntyIvy;NA
akriti_mishra05;NA
PacarnyaAsensio;NA
anittaperryswif;NA
noonamphan;NA
lisahnalilies;NA
erdosteine;NA
aminos1993;spotify_data
ninaaaaaaaa_m;NA
August28523850;NA
blinkspinkeu;NA
MaiMeTangLaewJa;NA
LiliPhusanisa;NA
aminos1993;NA
tetekookiee_;NA
ILoveJennieyaa1;NA
LarryIsACat;NA
f1fantwo;NA
goodbyetoyou45;NA
jentIepinkss;NA
_BlueMoon_Life;NA
dnxknp;NA
historyitstime;NA
heartprettyecox;NA
Jennie_Update;NA
KSGmyLIFEmani;NA
RinaRihanaPutr;NA
breenasabri;NA
bealynsa;NA
Jaejenxx9697;NA
Starlight_TS4;NA
x_akb_x;NA
blink2347;NA
lomner2;NA
Gah_BP;NA
rarainnie_m;NA
0IKCS860u5ufV2L;NA
borntohoax;NA
leomybias;NA
hoguejiofor1;NA
1989Rercorded;NA
RosiePo12169375;NA
SoxisrPieta;NA
swiftiesretweet;NA
dklynayyy;NA
skylar21_a;NA
Zardonyxx23;NA
chadsa_may;NA
troyperezswift;NA
tpinksz;NA
rosesareruby1;NA
terpimin;NA
queencylili;NA
staystoess;NA
BlinkKara;NA
Pattiya_py;NA
Jennideuk16;NA
moonie00_;NA
loudshanks_;NA
BarbieLisas;NA
ls1__blink;NA
CH4ERACHA;NA
lalisaree;NA
GIobalpinks;NA
blink_dalgomie;NA
Blinksforbp;NA
thatswiftlover;NA
aravallarta08;NA
hvmanguccii;NA
SofticeCreame;NA
ohmyswiftheart;NA
tinybird18;NA
xvlOG;NA
CharlizeCaroli3;NA
xvlOG;NA
xvlOG;NA
xvlOG;NA
vkai99_;NA
qwwecrhs;NA
mylovejennieeee;NA
ZakieBaby;NA
Pou74864099;NA
TS_CruelSummer;NA
jisoodildo;NA
BachDanielle;NA
lattecupz;NA
Adicta_Al_Te;NA
sanctuarysuno;NA
DemonOfMine13;NA
deepfrost13;NA
swiftalite;NA
taylorsan_;NA
kidleader;NA
deepfrost13;NA
lalalisa4140;NA
17ismyyouth;NA
imyouranreal;NA
YouGetAScarf;NA
virin_thorn;NA
lookwa1999;NA
idieforyouj;NA
BTSarmy32978657;NA
ChipmunkPosie;NA
BatangMarufok;NA
listrtxt;NA
swiftcorn1989;NA
leslie_lorene;NA
linipopo327;NA
swifttiesTH;NA
nickiana182;NA
Yessica57435108;NA
yannaingminoo13;NA
jendeeeukie;NA
liliEyesu___;NA
thxma_z;NA
yannaingminoo13;NA
rabenclaw13;NA
Teyaaaaaaa_27;NA
GoCrazywith2pm;NA
UtakanaLight;NA
GoCrazywith2pm;NA
BelieberInfin11;NA
1989_folkrep;NA
Apriyan13893769;NA
lilianlinton3;NA
YUi01286910;NA
kynlajerry;NA
fxreveryoung4;NA
BaurileLuis;NA
jnkIomI;NA
harrietwatts;NA
SibuaRini;NA
PowercutMusic;NA
seonho_taylor;NA
taay_1989;NA
thealyks;NA
DadorDale;NA
KimChichuuisok;NA
everhoax;NA
BPbeauty_RJSR;NA
RedSwiftie_1989;NA
gabts17;NA
ArweaveAPI;NA
sugar_plum9;NA
ch4ntastic;NA
Ruby_Janex;NA
Norhali14526721;NA
lalalisa_131;NA
RedSwiftie_1989;NA
taylorifancyyou;NA
motherofsnakes_;NA
yumna402;NA
blitzkreig0317;NA
SusanYesseniaC1;NA
Bp_revolution4;NA
Swifties_Blujay;NA
DanielAshley13;NA
lisasannitty;NA
naqaa_alqasem;NA
waitingRFL;NA
spytzuyu;NA
4BestGirls_BP;NA
jtmtclassic;NA
Kpopera10091978;NA
zara_why_;NA
Seleblink;NA
jaesmabf;NA
jjqookiee;NA
marveloustime21;NA
fh444bp;NA
valeblinka;NA
chrisBOOM1234;NA
OT4xBlackpink;NA
colon0211;NA
RubieRina;NA
mercydemi;NA
SaintEverlore;NA
scherizydz;NA
echonabbie;NA
Yessica57435108;NA
MalvarAngela;NA
bishwas_bikesh;NA
SerendipitousCS;NA
RJenniexx;NA
ninixchaengii;NA
AyushiT69158691;NA
f1fantwo;NA
Kafi521;NA
Yessica57435108;NA
Hashbrown_Swift;NA
AyushiT69158691;NA
thatswiftlover;NA
BPsexcc;NA
lmarina94;NA
swiffersey;NA
lollylionheart;taylorswift13
penhiaraisad;NA
HBlinkx;NA
CLMarfori;NA
LeeBioboy;NA
9SKENJ;NA
swiftiesretweet;NA
SINGULARIT4Y;NA
monkeylalisa;NA
crushlisaman;NA
AngelBagacinaa;NA
madebyima;NA
VlahosAlex;NA
TheeePinkss;NA
ewkkm77;NA
AyushiT69158691;NA
aundaohm;NA
POP_ICON_MAG;NA
HeelMario;NA
AlwaysKeys;NA
Lord_Alfreston;NA
Ananya34517674;NA
korkykugkai;NA
lilisxygurl;NA
BPs_Tiddies;NA
ayuxmine;NA
zzbttss;NA
AyushiT69158691;NA
juanitojrespino;NA
springday_25;NA
xvlOG;NA
MrRedskel;NA
xvlOG;NA
xvlOG;NA
xvlOG;NA
Blackpinkklove3;NA
moneyloves12;NA
Feh91839;NA
lisdgaf;NA
SuitGallegos;NA
_mkarys;NA
lalalaalisa;NA
wlkngsunflower;NA
doublezxb;NA
memmey15;NA
agnzn_;NA
LeoBizzleCaprio;NA
yarae37;NA
ZacJ26;NA
DiasSkye;NA
liliqueen09;NA
aaintjenlisa;NA
rubydeukim;NA
jennieusername;NA
niwang49;NA
kpopgirl135;NA
Sxy_Pretty;NA
mainpop_taypink;NA
taykooklyrics;NA
azhraazhn;NA
jnkslovei;NA
TS_CruelSummer;NA
tycornet;NA
jameswindborne;NA
Nacatto;NA
berman_shivani;NA
taykooklyrics;NA
taykooklyrics;NA
annadanybp8816;NA
maluma_si;NA
pierre_slvdn;NA
oficialjmarcos;NA
Benjinights;taylornation13
_m_m_i_s;NA
favpernirin;NA
niwang49;NA
iceiceizy;NA
RosieChipmunk11;NA
chartMovers;NA
stylein1989;NA
pearllypear;NA
iendeukie;NA
Leyheyyy;NA
Elisabet2116;NA
Isurini1S;NA
L32488468;NA
TVswiftie13;NA
hislcvelyone;NA
JessieInsta;NA
16BlackKJ;NA
Jennieee1996;NA
catleya_k;NA
LEACHANNEL7;NA
0_lilibangs;NA
llmaap;NA
yasminalaa123zk;NA
pebaoboy;NA
minarilili;NA
Yoy06970227;NA
BlinkeuJJLR8;NA
kj922769;NA
CornballPath420;NA
gayandcowboy;NA
_navzo21_;NA
Mysunsh231;NA
jisoomiplantita;NA
reputaySEAN;NA
xyacers;NA
turtleblinker_;NA
hitzaty;NA
ronelswiftie;NA
lisabea10;NA
Dula_peep69;NA
simsimsimi11;NA
bokbokyww;NA
ronelswiftie;NA
triautracx;NA
chocogurl23;NA
iamsada327;NA
JENLISA_1627;NA
mikasartarchive;NA
lerievlc;NA
TAyp16691;NA
LoveRosiee06;NA
lalisacred;NA
CastroMinx;NA
ahc5us;NA
sunn_shinee13;NA
Eammer1;NA
chu_dalgom;NA
A_lisooFan;NA
S4RA14707481;NA
xian_shirzel28;NA
Fireflyxiu;NA
mirrorballivy13;NA
Sao_natong;NA
MaCGO17;NA
hourlypop;NA
luvcruelsummer;NA
S_pinksS;NA
2535b2;NA
ZSinein;NA
LynMtnpcd;NA
ChinoYadely;NA
ShinyBlinkBling;NA
NoumanAhmad9;NA
AlucasAHB;NA
KJJRL4;NA
MaNOMOnA11;NA
rachell_lis;NA
Binu58276301;NA
mah_comfort;NA
ninanaann27;NA
theegrandeheels;NA
justtrashsmh;NA
chandlerw016;NA
tritonja1;NA
FernandaElmiger;NA
justtrashsmh;NA
EmilyJayneH11;NA
Breaksvery;NA
LeslieAngelo08;NA
sylvxanr;NA
taylornationofc;NA
Bmanoban1;NA
axxnniee;NA
causeimblue;NA
ammyatistarn;NA
ilovehomework4;NA
